TF,TF,lp_label,confidence,mor
0,342,1,High,Unknown
0,199,1,High,Unknown
0,287,1,High,Unknown
0,343,1,High,Unknown
5,59,1,High,Unknown
5,347,1,High,Unknown
6,109,1,High,Unknown
6,532,1,High,Activation
6,100,1,High,Activation
6,492,1,High,Unknown
6,72,1,High,Activation
6,86,1,High,Unknown
6,88,1,High,Unknown
6,479,1,High,Unknown
6,85,1,High,Unknown
6,78,1,High,Unknown
6,131,1,High,Unknown
6,127,1,High,Unknown
6,137,1,High,Unknown
6,129,1,High,Unknown
6,142,1,High,Unknown
6,120,1,High,Activation
6,125,1,High,Unknown
6,435,1,High,Activation
6,440,1,High,Unknown
6,35,1,High,Activation
6,34,1,High,Unknown
6,6,1,High,Unknown
6,1,1,High,Activation
6,564,1,High,Unknown
6,153,1,High,Unknown
6,155,1,High,Unknown
6,180,1,High,Unknown
6,174,1,High,Unknown
6,163,1,High,Activation
6,343,1,High,Unknown
6,852,1,High,Activation
6,352,1,High,Unknown
6,360,1,High,Unknown
6,323,1,High,Unknown
6,340,1,High,Unknown
6,312,1,High,Unknown
6,788,1,High,Unknown
6,278,1,High,Unknown
6,293,1,High,Repression
6,284,1,High,Unknown
6,285,1,High,Unknown
6,283,1,High,Unknown
6,598,1,High,Unknown
6,693,1,High,Unknown
6,273,1,High,Unknown
6,274,1,High,Unknown
6,265,1,High,Unknown
6,270,1,High,Unknown
6,743,1,High,Unknown
6,264,1,High,Unknown
6,236,1,High,Unknown
6,700,1,High,Unknown
6,714,1,High,Unknown
6,604,1,High,Unknown
6,682,1,High,Unknown
6,206,1,High,Unknown
6,221,1,High,Unknown
6,196,1,High,Unknown
6,679,1,High,Repression
6,681,1,High,Unknown
6,680,1,High,Unknown
6,205,1,High,Unknown
6,199,1,High,Activation
6,678,1,High,Unknown
6,200,1,High,Unknown
6,615,1,High,Activation
6,645,1,High,Activation
6,1013,1,High,Unknown
7,334,1,High,Unknown
8,122,1,High,Activation
8,82,1,High,Unknown
9,82,1,High,Unknown
9,122,1,High,Unknown
10,258,1,High,Activation
10,299,1,High,Unknown
10,300,1,High,Unknown
10,55,1,High,Activation
10,257,1,High,Activation
10,256,1,High,Activation
10,301,1,High,Unknown
10,236,1,High,Activation
10,927,1,High,Activation
10,416,1,High,Unknown
12,340,1,High,Unknown
12,828,1,High,Unknown
12,367,1,High,Unknown
12,287,1,High,Unknown
12,230,1,High,Unknown
12,239,1,High,Unknown
12,152,1,High,Unknown
12,155,1,High,Unknown
12,163,1,High,Unknown
12,97,1,High,Unknown
12,582,1,High,Unknown
12,44,1,High,Activation
12,96,1,High,Unknown
12,73,1,High,Unknown
12,398,1,High,Unknown
12,30,1,High,Unknown
12,9,1,High,Unknown
12,19,1,High,Unknown
13,709,1,High,Activation
13,287,1,High,Activation
13,13,1,High,Unknown
13,179,1,High,Unknown
13,176,1,High,Unknown
13,178,1,High,Unknown
13,177,1,High,Unknown
13,367,1,High,Activation
13,34,1,High,Activation
13,149,1,High,Activation
13,163,1,High,Activation
13,35,1,High,Activation
13,148,1,High,Activation
13,97,1,High,Activation
13,14,1,High,Activation
15,81,1,High,Unknown
15,63,1,High,Activation
15,53,1,High,Unknown
17,63,1,High,Activation
17,336,1,High,Activation
17,383,1,High,Activation
18,63,1,High,Unknown
19,370,1,High,Unknown
20,370,1,High,Unknown
21,220,1,High,Unknown
21,734,1,High,Unknown
21,196,1,High,Unknown
22,748,1,High,Repression
30,370,1,High,Unknown
30,340,1,High,Unknown
30,449,1,High,Activation
30,78,1,High,Unknown
30,80,1,High,Unknown
30,83,1,High,Unknown
30,85,1,High,Activation
30,88,1,High,Unknown
30,6,1,High,Unknown
31,85,1,High,Unknown
31,282,1,High,Unknown
38,855,1,High,Activation
38,355,1,High,Unknown
38,155,1,High,Activation
38,273,1,High,Activation
38,805,1,High,Activation
38,860,1,High,Activation
38,370,1,High,Unknown
38,858,1,High,Unknown
38,360,1,High,Unknown
38,277,1,High,Unknown
38,329,1,High,Activation
38,335,1,High,Activation
38,287,1,High,Activation
38,711,1,High,Activation
38,224,1,High,Unknown
38,225,1,High,Activation
38,223,1,High,Activation
38,197,1,High,Activation
38,199,1,High,Repression
38,1013,1,High,Activation
38,154,1,High,Activation
38,126,1,High,Activation
38,78,1,High,Unknown
38,68,1,High,Activation
38,66,1,High,Unknown
38,67,1,High,Activation
38,46,1,High,Activation
38,35,1,High,Activation
38,34,1,High,Activation
38,302,1,High,Unknown
38,303,1,High,Unknown
39,155,1,High,Activation
39,312,1,High,Unknown
39,313,1,High,Unknown
39,367,1,High,Activation
39,360,1,High,Unknown
39,273,1,High,Unknown
39,270,1,High,Unknown
39,152,1,High,Activation
39,154,1,High,Activation
39,97,1,High,Activation
40,34,1,High,Activation
40,270,1,High,Activation
40,367,1,High,Activation
40,155,1,High,Activation
40,152,1,High,Unknown
41,196,1,High,Activation
41,333,1,High,Repression
41,199,1,High,Repression
41,107,1,High,Repression
42,154,1,High,Unknown
43,59,1,High,Unknown
44,225,1,High,Unknown
44,224,1,High,Unknown
44,223,1,High,Unknown
44,46,1,High,Unknown
44,338,1,High,Unknown
44,298,1,High,Unknown
44,296,1,High,Unknown
44,297,1,High,Unknown
45,927,1,High,Activation
45,300,1,High,Unknown
45,301,1,High,Unknown
45,416,1,High,Activation
45,257,1,High,Activation
45,258,1,High,Activation
45,299,1,High,Unknown
45,55,1,High,Activation
45,256,1,High,Activation
45,236,1,High,Unknown
46,710,1,High,Activation
46,317,1,High,Unknown
46,360,1,High,Unknown
46,485,1,High,Unknown
46,708,1,High,Unknown
46,709,1,High,Activation
46,64,1,High,Unknown
46,39,1,High,Unknown
46,817,1,High,Unknown
46,855,1,High,Unknown
46,367,1,High,Unknown
46,340,1,High,Unknown
46,302,1,High,Unknown
46,271,1,High,Unknown
46,284,1,High,Activation
46,273,1,High,Unknown
46,163,1,High,Repression
46,1013,1,High,Unknown
46,239,1,High,Unknown
46,711,1,High,Unknown
46,686,1,High,Activation
46,687,1,High,Unknown
46,34,1,High,Activation
46,152,1,High,Unknown
46,153,1,High,Activation
46,155,1,High,Activation
46,149,1,High,Activation
46,582,1,High,Unknown
46,96,1,High,Unknown
46,115,1,High,Unknown
46,97,1,High,Activation
46,73,1,High,Activation
46,489,1,High,Activation
46,44,1,High,Activation
46,30,1,High,Unknown
46,14,1,High,Unknown
46,81,1,High,Unknown
46,53,1,High,Unknown
46,194,1,High,Activation
47,194,1,High,Unknown
47,53,1,High,Unknown
47,81,1,High,Unknown
48,194,1,High,Unknown
48,53,1,High,Unknown
48,81,1,High,Unknown
49,194,1,High,Unknown
50,194,1,High,Unknown
50,81,1,High,Unknown
50,53,1,High,Unknown
51,194,1,High,Unknown
51,81,1,High,Unknown
51,53,1,High,Unknown
52,53,1,High,Unknown
52,81,1,High,Unknown
53,194,1,High,Unknown
53,290,1,High,Unknown
53,50,1,High,Unknown
53,15,1,High,Unknown
53,49,1,High,Unknown
53,46,1,High,Activation
53,48,1,High,Unknown
53,47,1,High,Unknown
53,82,1,High,Unknown
53,59,1,High,Unknown
53,51,1,High,Unknown
53,52,1,High,Unknown
53,122,1,High,Unknown
53,170,1,High,Unknown
53,353,1,High,Unknown
53,291,1,High,Unknown
53,352,1,High,Unknown
53,338,1,High,Unknown
53,311,1,High,Unknown
53,313,1,High,Unknown
53,312,1,High,Unknown
53,344,1,High,Unknown
53,340,1,High,Unknown
53,339,1,High,Unknown
53,343,1,High,Unknown
53,341,1,High,Unknown
53,342,1,High,Unknown
53,354,1,High,Unknown
53,370,1,High,Unknown
55,10,1,High,Unknown
55,55,1,High,Unknown
55,45,1,High,Unknown
55,256,1,High,Unknown
55,234,1,High,Unknown
55,257,1,High,Unknown
55,258,1,High,Unknown
57,302,1,High,Unknown
57,290,1,High,Unknown
57,191,1,High,Unknown
57,170,1,High,Unknown
57,354,1,High,Unknown
57,353,1,High,Unknown
57,352,1,High,Unknown
57,291,1,High,Unknown
59,34,1,High,Activation
59,352,1,High,Unknown
59,347,1,High,Unknown
59,305,1,High,Unknown
59,353,1,High,Unknown
59,334,1,High,Unknown
59,354,1,High,Unknown
59,170,1,High,Unknown
59,72,1,High,Unknown
59,59,1,High,Unknown
59,60,1,High,Unknown
59,53,1,High,Unknown
59,43,1,High,Unknown
59,5,1,High,Unknown
59,81,1,High,Unknown
60,59,1,High,Unknown
63,179,1,High,Unknown
63,176,1,High,Unknown
63,18,1,High,Unknown
63,178,1,High,Unknown
63,17,1,High,Unknown
63,15,1,High,Unknown
63,214,1,High,Unknown
63,177,1,High,Unknown
63,383,1,High,Unknown
65,231,1,High,Unknown
65,233,1,High,Unknown
65,232,1,High,Unknown
66,672,1,High,Activation
