TF,miRna,lp_label,confidence,mor
1,20190,1,High,
1,20118,1,High,
1,20067,1,High,
1,20127,1,High,
2,20190,1,High,
3,20190,1,High,
6,20182,1,High,
11,20288,1,High,
23,20118,1,High,
24,20197,1,High,
24,20232,1,High,
25,20168,1,High,
25,20164,1,High,
25,20163,1,High,
25,20102,1,High,
25,20162,1,High,
26,20175,1,High,
27,20175,1,High,
28,20175,1,High,
29,20097,1,High,
30,20104,1,High,
30,20621,1,High,
32,20100,1,High,
32,20120,1,High,
33,20118,1,High,
34,20122,1,High,
34,20173,1,High,
35,20319,1,High,
35,20318,1,High,
36,20304,1,High,
37,20067,1,High,
38,20266,1,High,
38,20215,1,High,
38,20048,1,High,
38,20193,1,High,
38,20214,1,High,
39,20100,1,High,
46,20178,1,High,
46,20083,1,High,
46,20594,1,High,
58,20288,1,High,
59,20622,1,High,
59,20284,1,High,
59,20285,1,High,
64,20175,1,High,
64,20129,1,High,
66,20623,1,Medium,
66,20624,1,Medium,
66,20625,1,Medium,
66,20626,1,Medium,
66,20627,1,Medium,
66,20628,1,Medium,
66,20629,1,Medium,
66,20630,1,Medium,
66,20631,1,Medium,
66,20529,1,Medium,
66,20531,1,Medium,
66,20552,1,Medium,
66,20632,1,Medium,
66,20633,1,Medium,
66,20634,1,Medium,
66,20635,1,Medium,
66,20636,1,Medium,
66,20637,1,Medium,
66,20638,1,Medium,
66,20639,1,Medium,
66,20640,1,Medium,
66,20641,1,Medium,
66,20642,1,Medium,
66,20643,1,Medium,
66,20644,1,Medium,
66,20645,1,Medium,
66,20318,1,High,
66,20319,1,High,
66,20646,1,High,
66,20601,1,High,
66,20603,1,High,
66,20119,1,High,
66,20174,1,High,
66,20193,1,High,
66,20199,1,High,
66,20276,1,High,
66,20120,1,High,
66,20149,1,High,
66,20173,1,High,
66,20159,1,High,
66,20160,1,High,
66,20121,1,High,
66,20140,1,High,
66,20122,1,High,
66,20138,1,High,
66,20055,1,High,
66,20054,1,High,
68,20121,1,High,
68,20266,1,High,
68,20149,1,High,
68,20119,1,High,
68,20120,1,High,
68,20055,1,High,
72,20175,1,High,
73,20111,1,High,
73,20131,1,High,
73,20220,1,High,
73,20133,1,High,
73,20143,1,High,
73,20163,1,High,
73,20178,1,High,
73,20186,1,High,
73,20312,1,High,
73,20620,1,High,
73,20647,1,High,
73,20602,1,High,
73,20617,1,High,
73,20487,1,High,
73,20648,1,High,
73,20195,1,High,
73,20231,1,High,
73,20233,1,High,
73,20250,1,High,
73,20197,1,High,
73,20229,1,High,
73,20202,1,High,
73,20225,1,High,
73,20083,1,High,
73,20621,1,High,
73,20109,1,High,
73,20054,1,High,
73,20082,1,High,
73,20057,1,High,
73,20649,1,High,
73,20062,1,High,
75,20149,1,High,
81,20097,1,High,
81,20164,1,High,
85,20601,1,High,
85,20175,1,High,
85,20191,1,High,
85,20192,1,High,
85,20276,1,High,
85,20174,1,High,
85,20159,1,High,
85,20160,1,High,
85,20173,1,High,
85,20138,1,High,
85,20140,1,High,
85,20054,1,High,
85,20122,1,High,
86,20196,1,High,
86,20197,1,High,
86,20203,1,High,
86,20225,1,High,
87,20316,1,High,
87,20070,1,High,
88,20104,1,High,
88,20192,1,High,
91,20175,1,High,
94,20090,1,High,
94,20050,1,High,
95,20192,1,High,
97,20650,1,Medium,
97,20651,1,Medium,
97,20652,1,Medium,
97,20653,1,Medium,
97,20654,1,Medium,
97,20531,1,Medium,
97,20538,1,Medium,
97,20555,1,Medium,
97,20575,1,Medium,
97,20655,1,Medium,
97,20656,1,Medium,
97,20495,1,Medium,
97,20525,1,Medium,
97,20524,1,Medium,
97,20657,1,Medium,
97,20658,1,Medium,
97,20659,1,Medium,
97,20477,1,Medium,
97,20660,1,Medium,
97,20661,1,Medium,
97,20662,1,Medium,
97,20663,1,Medium,
97,20442,1,Medium,
97,20664,1,Medium,
97,20665,1,Medium,
97,20401,1,Medium,
97,20666,1,Medium,
97,20667,1,Medium,
97,20668,1,Medium,
97,20669,1,Medium,
97,20670,1,Medium,
97,20416,1,Medium,
97,20671,1,Medium,
97,20415,1,Medium,
97,20672,1,Medium,
97,20379,1,Medium,
97,20673,1,Medium,
97,20384,1,Medium,
97,20674,1,Medium,
97,20675,1,Medium,
97,20385,1,Medium,
97,20676,1,Medium,
97,20677,1,Medium,
97,20678,1,Medium,
97,20679,1,Medium,
97,20378,1,Medium,
97,20680,1,Medium,
97,20681,1,Medium,
97,20682,1,Medium,
97,20683,1,Medium,
97,20684,1,Medium,
97,20685,1,Medium,
97,20686,1,Medium,
97,20687,1,Medium,
97,20688,1,Medium,
97,20689,1,Medium,
97,20690,1,Medium,
97,20691,1,Medium,
97,20692,1,Medium,
97,20693,1,Medium,
97,20694,1,Medium,
97,20695,1,Medium,
97,20696,1,Medium,
97,20697,1,Medium,
97,20698,1,Medium,
97,20699,1,Medium,
97,20700,1,Medium,
97,20701,1,Medium,
97,20702,1,Medium,
97,20703,1,Medium,
97,20704,1,Medium,
97,20705,1,Medium,
97,20706,1,Medium,
97,20318,1,Medium,
97,20707,1,Medium,
97,20708,1,Medium,
97,20092,1,Medium,
97,20709,1,Medium,
97,20710,1,Medium,
97,20711,1,Medium,
97,20712,1,Medium,
97,20713,1,Medium,
97,20714,1,Medium,
97,20715,1,Medium,
97,20300,1,Medium,
97,20716,1,Medium,
97,20717,1,Medium,
97,20718,1,Medium,
97,20719,1,Medium,
97,20093,1,Medium,
97,20720,1,Medium,
97,20721,1,Medium,
97,20722,1,Medium,
97,20723,1,Medium,
97,20227,1,Medium,
97,20724,1,Medium,
97,20220,1,Medium,
97,20725,1,Medium,
97,20726,1,Medium,
97,20727,1,Medium,
97,20728,1,Medium,
97,20729,1,Medium,
97,20730,1,Medium,
97,20731,1,Medium,
97,20732,1,Medium,
97,20733,1,Medium,
97,20734,1,Medium,
