miRna,TF,lp_label,confidence,mor
20040,11,1,Medium,
20040,401,1,Medium,
20040,912,1,Medium,
20040,409,1,Medium,
20040,929,1,Medium,
20040,24,1,Medium,
20040,930,1,Medium,
20040,426,1,Medium,
20040,34,1,Medium,
20040,35,1,Medium,
20040,434,1,Medium,
20040,945,1,Medium,
20040,70,1,Medium,
20040,512,1,Medium,
20040,67,1,Medium,
20040,71,1,Medium,
20040,75,1,Medium,
20040,479,1,Medium,
20040,94,1,Medium,
20040,967,1,Medium,
20040,517,1,Medium,
20040,155,1,Medium,
20040,553,1,Medium,
20040,986,1,Medium,
20040,533,1,Medium,
20040,981,1,Medium,
20040,153,1,Medium,
20040,561,1,Medium,
20040,124,1,Medium,
20040,141,1,Medium,
20040,137,1,Medium,
20040,127,1,Medium,
20040,132,1,Medium,
20040,574,1,Medium,
20040,1001,1,Medium,
20040,619,1,Medium,
20040,621,1,Medium,
20040,627,1,Medium,
20040,633,1,Medium,
20040,192,1,Medium,
20040,652,1,Medium,
20040,651,1,Medium,
20040,650,1,Medium,
20040,1025,1,Medium,
20040,1021,1,Medium,
20040,1028,1,Medium,
20040,200,1,Medium,
20040,669,1,Medium,
20040,196,1,Medium,
20040,199,1,Medium,
20040,675,1,Medium,
20040,678,1,Medium,
20040,680,1,Medium,
20040,709,1,Medium,
20040,718,1,Medium,
20040,245,1,Medium,
20040,725,1,Medium,
20040,1054,1,Medium,
20040,252,1,Medium,
20040,263,1,Medium,
20040,731,1,Medium,
20040,741,1,Medium,
20040,266,1,Medium,
20040,274,1,Medium,
20040,750,1,Medium,
20040,748,1,Medium,
20040,1070,1,Medium,
20040,1258,1,Medium,
20040,1073,1,Medium,
20040,1283,1,Medium,
20040,290,1,Medium,
20040,287,1,Medium,
20040,301,1,Medium,
20040,1083,1,Medium,
20040,311,1,Medium,
20040,805,1,Medium,
20040,815,1,Medium,
20040,824,1,Medium,
20040,818,1,Medium,
20040,885,1,Medium,
20040,877,1,Medium,
20040,1143,1,Medium,
20040,881,1,Medium,
