miRna,target,lp_label,confidence,mor
20040,3701,1,Medium,
20040,2521,1,Medium,
20040,3702,1,Medium,
20040,3703,1,Medium,
20040,2670,1,Medium,
20040,3704,1,Medium,
20040,3705,1,Medium,
20040,3706,1,Medium,
20040,3707,1,Medium,
20040,3708,1,Medium,
20040,3709,1,Medium,
20040,3710,1,Medium,
20040,3711,1,Medium,
20040,3712,1,Medium,
20040,3713,1,Medium,
20040,3714,1,Medium,
20040,3715,1,Medium,
20040,3716,1,Medium,
20040,3717,1,Medium,
20040,3718,1,Medium,
20040,2170,1,Medium,
20040,3057,1,Medium,
20040,3719,1,Medium,
20040,3720,1,Medium,
20040,3721,1,Medium,
20040,3722,1,Medium,
20040,3723,1,Medium,
20040,3724,1,Medium,
20040,3725,1,Medium,
20040,3726,1,Medium,
20040,3727,1,Medium,
20040,1873,1,Medium,
20040,3728,1,Medium,
20040,1758,1,Medium,
20040,2151,1,Medium,
20040,3729,1,Medium,
20040,3730,1,Medium,
20040,3731,1,Medium,
20040,3732,1,Medium,
20040,3733,1,Medium,
20040,3734,1,Medium,
20040,3735,1,Medium,
20040,3736,1,Medium,
20040,2667,1,Medium,
20040,3737,1,Medium,
20040,3738,1,Medium,
20040,3739,1,Medium,
20040,3740,1,Medium,
20040,3741,1,Medium,
20040,3742,1,Medium,
20040,3743,1,Medium,
20040,3744,1,Medium,
20040,3745,1,Medium,
20040,1677,1,Medium,
20040,3746,1,Medium,
20040,3747,1,Medium,
20040,2658,1,Medium,
20040,3748,1,Medium,
20040,3749,1,Medium,
20040,3750,1,Medium,
20040,3751,1,Medium,
20040,3752,1,Medium,
20040,3753,1,Medium,
20040,3754,1,Medium,
20040,2722,1,Medium,
20040,2646,1,Medium,
20040,3755,1,Medium,
20040,3756,1,Medium,
20040,3757,1,Medium,
20040,3758,1,Medium,
20040,3759,1,Medium,
20040,3760,1,Medium,
20040,3761,1,Medium,
20040,3762,1,Medium,
20040,1745,1,Medium,
20040,3763,1,Medium,
20040,3764,1,Medium,
20040,3765,1,Medium,
20040,3043,1,Medium,
20040,3766,1,Medium,
20040,3767,1,Medium,
20040,3768,1,Medium,
20040,3769,1,Medium,
20040,3770,1,Medium,
20040,3771,1,Medium,
20040,1739,1,Medium,
20040,3772,1,Medium,
20040,3773,1,Medium,
20040,3774,1,Medium,
20040,3775,1,Medium,
20040,3776,1,Medium,
20040,3777,1,Medium,
20040,3133,1,Medium,
20040,3778,1,Medium,
20040,3779,1,Medium,
20040,3780,1,Medium,
20040,3781,1,Medium,
20040,3782,1,Medium,
20040,3783,1,Medium,
20040,3784,1,Medium,
20040,3785,1,Medium,
20040,3786,1,Medium,
20040,3787,1,Medium,
20040,3788,1,Medium,
20040,3789,1,Medium,
20040,3790,1,Medium,
20040,3791,1,Medium,
20040,3792,1,Medium,
20040,3793,1,Medium,
20040,3794,1,Medium,
20040,3795,1,Medium,
20040,3796,1,Medium,
20040,3797,1,Medium,
20040,3798,1,Medium,
20040,3799,1,Medium,
20040,3800,1,Medium,
20040,3801,1,Medium,
20040,3802,1,Medium,
20040,3803,1,Medium,
20040,3804,1,Medium,
20040,3805,1,Medium,
20040,3806,1,Medium,
20040,3807,1,Medium,
20040,3808,1,Medium,
20040,3809,1,Medium,
20040,3810,1,Medium,
20040,2595,1,Medium,
20040,3811,1,Medium,
20040,3812,1,Medium,
20040,3813,1,Medium,
20040,1736,1,Medium,
20040,2578,1,Medium,
20040,3814,1,Medium,
20040,1733,1,Medium,
20040,3815,1,Medium,
20040,3429,1,Medium,
20040,3436,1,Medium,
20040,3816,1,Medium,
20040,3817,1,Medium,
20040,3818,1,Medium,
20040,3819,1,Medium,
20040,3820,1,Medium,
20040,3821,1,Medium,
20040,3822,1,Medium,
20040,3823,1,Medium,
20040,3824,1,Medium,
20040,2520,1,Medium,
20040,3825,1,Medium,
20040,3826,1,Medium,
20040,3827,1,Medium,
20040,3828,1,Medium,
20040,3829,1,Medium,
20040,3830,1,Medium,
20040,2513,1,Medium,
20040,3831,1,Medium,
20040,3832,1,Medium,
20040,3833,1,Medium,
20040,3834,1,Medium,
20040,3835,1,Medium,
20040,3836,1,Medium,
20040,3837,1,Medium,
20040,3838,1,Medium,
20040,3839,1,Medium,
20040,3840,1,Medium,
20040,3841,1,Medium,
20040,3842,1,Medium,
20040,3040,1,Medium,
20040,3843,1,Medium,
20040,3485,1,Medium,
20040,3844,1,Medium,
20040,3845,1,Medium,
20040,3846,1,Medium,
20040,3847,1,Medium,
20040,3033,1,Medium,
20040,3848,1,Medium,
20040,3849,1,Medium,
20040,3850,1,Medium,
20040,2605,1,Medium,
20040,3851,1,Medium,
20040,3852,1,Medium,
20040,3087,1,Medium,
20040,3853,1,Medium,
20040,3854,1,Medium,
20040,3855,1,Medium,
20040,3856,1,Medium,
20040,1853,1,Medium,
20040,3857,1,Medium,
20040,3858,1,Medium,
20040,3859,1,Medium,
20040,3860,1,Medium,
20040,3080,1,Medium,
20040,3861,1,Medium,
20040,3862,1,Medium,
20040,1693,1,Medium,
20040,3863,1,Medium,
20040,3432,1,Medium,
20040,3864,1,Medium,
20040,3865,1,Medium,
20040,3866,1,Medium,
20040,3867,1,Medium,
20040,3868,1,Medium,
20040,3869,1,Medium,
20040,3870,1,Medium,
20040,3871,1,Medium,
20040,3872,1,Medium,
20040,3873,1,Medium,
20040,3874,1,Medium,
20040,3875,1,Medium,
20040,3876,1,Medium,
20040,3877,1,Medium,
20040,3878,1,Medium,
20040,2072,1,Medium,
20040,3879,1,Medium,
20040,3880,1,Medium,
20040,2485,1,Medium,
20040,3881,1,Medium,
20040,3882,1,Medium,
20040,3883,1,Medium,
20040,3884,1,Medium,
20040,2726,1,Medium,
